popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
62,0.0234,0.628,210653,0.797,3.57E-06,0.112,-6.103,0.0371,120.4064967,0.497,Rock
77,0.323,0.606,182493,0.652,0,0.201,-6.982,0.0281,97.155,0.476,Rock
35,0.000612,0.292,301613,0.97,0.403,0.308,-3.615,0.132,109.8,0.351,Jazz
68,0.154,0.71,180675,0.47,0,0.643,-9.33,0.142,80.027,0.581,Hip-Hop
64,0.795,,188693,0.354,0.000107,0.0879,-11.112,0.0313,73.007,,Blues
62,,0.56,221000,,0.134,0.299,-4.481,0.032,132.009,0.807,Rock
41,0.0118,0.854,,0.493,,,-9.996,0.104,,0.582,Jazz
53,0.746,0.561,225533,0.891,0,0.109,-4.771,0.305,91.316,0.69,Hip-Hop
55,0.0056,0.577,200707,0.934,0,0.0484,-3.999,0.128,137.003,0.54,Rock
69,0.013,0.649,208467,0.888,2.23E-06,0.0888,-4.807,0.0293,100.975,0.553,Alternative
62,0.326,0.515,286707,0.505,0,0.102,-5.606,0.0294,150.063,0.538,Hip-Hop
40,,0.797,284067,,0.00019,0.0648,-12.692,0.0385,114.746,0.881,Jazz
56,0.00134,0.684,215880,0.992,0,0.878,-1.893,0.0748,133.963,0.757,Rock
33,0.137,0.472,220187,0.815,5.06E-05,0.261,-9.725,0.0478,131.547,0.593,Blues
64,0.303,0.399,445187,0.467,0.0186,0.124,-11.763,0.0284,120.4064967,0.525,Rock
51,0.0691,0.557,-1,0.61,0.0117,0.341,-9.899,0.111,155.966,0.128,Rock
68,,0.195,269107,,0.497,0.0686,-4.991,0.03,84.71,0.173,Rock
35,,0.669,190119,,4.86E-05,0.142,-6.898,0.153,127.994,0.439,Electronic
51,0.337,0.563,211573,0.497,0.00273,0.162,-7.595,0.0351,169.977,0.561,Rock
68,6.57E-05,0.532,-1,0.889,0.00706,0.0943,-5.474,0.0543,93.994,0.508,Rock
51,0.00287,,,0.687,,0.274,-7.792,0.0234,100.06,,Rock
48,0.174,0.843,305219,0.668,6.66E-05,0.0963,-7.236,0.0371,125.028,0.378,Country
43,0.0129,0.616,207067,0.605,0,0.112,-4.641,0.093,77.493,0.435,Alternative
63,0.309,0.635,223480,0.562,2.01E-06,0.11,-8.92,0.168,181.014,0.288,Hip-Hop
58,,0.48,224947,,0,0.193,-6.202,0.028,149.957,0.41,Rock
53,0.0054,0.556,207040,0.702,0,0.218,-5.792,,132.33,0.452,Rock
42,1.46E-05,,230613,0.943,0.0314,0.222,-4.483,0.0673,96.006,,Classical
66,0.000821,0.389,189707,0.748,0.00058,0.358,-4.461,0.0805,120.4064967,0.216,Rock
53,,0.608,168027,,0.352,0.166,-17.109,0.0264,84.78,0.401,Rock
28,0.00531,0.531,249600,0.964,0.0273,0.0832,,0.533,150.237,0.198,Electronic
70,0.00018,0.546,207213,0.959,0.00144,0.0584,-4.664,0.082,127.831,0.416,Rock
67,0.0609,0.648,,0.75,,,-3.248,0.0335,,0.556,Rock
37,0.333,0.793,,0.479,,0.0279,-10.759,0.0822,95.99,0.645,Electronic
32,0.00058,0.664,-1,0.83,0.113,0.339,-5.021,0.0463,94.812,0.906,Electronic
25,0.973,0.0712,257280,0.0169,0.35,0.0731,-26.569,0.0496,77.78,0.0311,Classical
66,,0.579,,,,0.172,-4.872,,170.593,0.885,Rock
54,0.181,0.799,252693,0.665,0.136,0.125,-6.31,,89.498,0.783,Rock
49,0.0946,0.419,281000,0.748,0.000174,0.0916,-8.142,0.0521,85.02,0.417,Rock
15,,,177867,,0.941,0.125,-12.529,0.0416,62.838,,Anime
45,0.784,0.56,214945,0.204,0,0.109,-15.395,0.0448,120.138,0.282,Alternative
21,,,-1,,0.0823,0.605,,0.0558,75.319,,Classical
56,,0.614,323600,,0.518,0.108,-8.317,0.0323,126.477,0.717,Rock
66,0.132,0.615,251333,0.582,3.81E-05,0.119,-10.323,0.0402,82.532,0.789,Rock
48,,0.507,182987,,0,0.147,-4.763,0.118,165.136,0.436,Rock
57,0.00254,0.306,232533,0.985,0.626,0.13,-6.687,0.0822,133.963,0.255,Rock
31,0.569,0.449,249600,0.871,1.93E-06,0.401,-2.365,0.0714,204.048,0.786,Anime
78,0.371,0.558,-1,0.559,7.49E-06,0.109,-9.222,0.0959,78.558,0.62,Hip-Hop
33,0.00938,0.473,214213,0.802,0.00141,0.392,-4.966,0.0322,120.4064967,0.661,Rock
42,0.205,0.496,177000,0.895,0,0.0626,-4.027,0.147,120.4064967,0.654,Country
62,0.0175,0.409,221093,0.761,0,0.114,-4.514,0.031,155.901,0.271,Rock
16,0.000286,,92573,0.752,0.785,0.152,-5.76,0.0406,95.018,,Anime
58,0.0073,0.491,249067,0.738,0,0.295,-6.73,0.0571,162.003,0.524,Rock
30,0.00219,,128787,0.92,0.814,0.16,-3.098,0.0491,82.87,,Blues
54,0.00229,0.547,226200,0.932,0,0.335,-5.237,0.0968,134.981,0.513,Rock
50,0.875,0.653,524093,0.368,0.00305,0.0972,-11.567,0.0439,117.161,0.249,Jazz
55,0.349,0.446,245693,0.519,0.00599,0.249,,0.0274,151.267,0.383,Country
44,,0.425,-1,,0.0124,0.129,-9.072,0.0312,73.69,0.311,Country
51,0.497,0.74,220427,0.816,0,0.195,-4.764,0.0765,91.91,0.963,Rock
53,0.744,0.366,498147,0.357,1.97E-05,0.11,-6.227,0.0342,118.901,0.117,Rock
25,0.00873,0.465,243020,0.981,0,0.354,-2.366,0.203,128.093,0.534,Anime
55,,,-1,,7.93E-05,0.12,-5.855,0.283,207.852,,Hip-Hop
54,0.0161,0.739,238339,0.539,0,0.235,-9.735,0.337,85.082,0.835,Hip-Hop
61,0.314,0.687,204333,0.648,1.37E-06,0.289,,0.027,121.341,0.6,Rock
43,0.61,,-1,0.225,0.0577,0.0596,-16.413,0.0498,120.4064967,,Jazz
25,,0.584,253467,,0.0857,0.581,-4.09,0.164,127.984,0.0534,Electronic
55,0.178,0.687,242347,0.651,0.00879,0.149,-6.696,0.0255,119.937,0.514,Rock
52,,0.42,351678,,0.000423,0.096,-9.828,0.0341,147.949,0.378,Rock
12,0.991,0.254,106933,0.203,0.886,0.313,-19.116,0.04,109.666,0.172,Classical
62,0.0855,0.686,154373,0.67,0,0.12,-7.626,0.225,173.915,0.636,Rap
62,0.041,,266040,0.659,0,0.0587,-5.617,0.0383,94.853,,Rock
55,0.271,0.421,263253,0.633,0,0.113,-6.837,0.0433,155.715,0.161,Rock
70,0.00735,0.756,170539,0.814,0,0.143,-5.398,0.0416,146.99,0.709,Rap
28,0.422,0.585,232400,0.726,0.0235,0.332,-12.614,0.0549,126.105,0.884,Blues
52,,,180720,,0,0.156,-5.81,0.0449,116.03,,Rock
56,0.392,0.482,323707,0.55,0.0208,0.111,-4.485,0.0267,114.435,0.353,Rock
60,0.0688,0.626,-1,0.527,0.000214,0.372,-9.371,0.109,151.657,0.227,Alternative
,0.0513,0.395,,0.896,,,-4.262,0.0351,,0.35,Rock
71,0.538,0.404,148053,0.43,0,0.0802,-12.327,0.224,180.061,0.641,Rock
64,0.0263,0.54,188333,0.78,7.12E-06,0.35,-5.872,0.0418,144.011,0.514,Rock
66,0.318,0.695,,0.731,,0.143,-2.15,0.034,122.522,0.497,Rock
54,,0.565,,,,,-10.793,0.0384,,0.591,Rock
35,0.0153,0.55,,0.734,,,-5.72,0.031,,0.592,Country
50,0.00199,0.612,206107,0.794,0,0.0776,-5.857,0.0377,130.025,0.482,Rock
64,0.263,0.443,-1,0.727,0.000141,0.169,-7.951,0.145,160.82,0.566,Blues
68,,0.497,187896,,1.98E-05,0.274,-4.308,0.0455,148.893,0.385,Rock
22,0.0978,0.189,139400,0.812,0.875,0.181,-10.686,0.0436,123.597,0.276,Electronic
70,0.201,,225800,0.779,0,0.117,-5.084,0.287,83.332,,Hip-Hop
72,0.564,0.492,164083,0.712,9.10E-05,0.357,-7.278,0.691,137.453,0.23,Rap
52,0.059,0.625,158108,0.699,0,0.231,-10.665,0.478,147.956,0.381,Rap
31,,0.299,-1,,0.939,0.429,-17.152,0.039,136.472,0.127,Classical
50,0.011,,173933,0.5,0.012,0.287,-18.39,0.0445,105.357,,Country
0,0.928,0.382,588400,0.161,0.559,0.12,-19.09,0.0535,93.319,0.266,Classical
56,0.955,0.465,284867,0.242,0.0223,0.126,-10.46,0.0298,102.812,0.315,Rock
52,,0.433,254867,,0.293,0.159,-6.702,0.0337,137.268,0.184,Alternative
57,0.0424,0.629,244360,0.69,0,0.363,-4.894,0.0357,102.036,0.307,Rock
55,0.00394,0.507,207724,0.663,0.000189,0.13,-9.163,0.139,94.884,0.327,Rock
66,0.219,0.701,144333,0.261,0,0.0821,-19.846,0.0938,97.042,0.89,Alternative
43,0.989,0.198,-1,0.0382,0.969,0.17,-29.885,0.0443,136.392,0.127,Classical
11,0.929,0.563,142573,0.252,6.11E-05,0.126,-10.691,,111.721,0.0792,Anime
60,0.27,0.546,,0.838,,,-3.51,0.0319,,0.719,Rock
54,0.864,0.736,182027,0.297,1.49E-05,0.0609,-9.648,0.0349,120.4064967,0.186,Rock
50,0.00287,0.517,260094,0.561,0,0.556,,0.0351,139.959,0.149,Alternative
53,,0.138,257520,,0.786,0.0895,-7.976,0.0443,170.342,0.36,Rock
47,0.52,0.561,184632,0.715,0,0.119,-6.344,0.0417,153.956,0.453,Rock
61,0.351,0.541,199490,0.483,0.4,0.111,-10.675,0.0514,80.73,0.641,Rock
57,0.312,0.605,-1,0.605,0.00511,0.0601,-7.722,0.0837,147.736,0.418,Rock
74,,0.655,-1,,0,0.409,-3.451,0.059,91.035,0.165,Rap
65,0.431,0.566,233467,0.766,0,0.101,-5.036,0.0399,120.4064967,0.547,Rock
36,0.865,0.124,179453,0.309,0.8,0.103,,0.0346,63.827,0.0796,Classical
63,5.91E-06,0.382,298253,0.867,0.581,0.196,-7.426,0.0399,87.309,0.453,Rock
51,,0.606,197160,,7.14E-05,0.111,-5.726,0.0361,132.004,0.49,Country
57,0.735,0.717,146400,0.373,0,0.303,,0.061,138.513,0.538,Rock
65,0.000631,0.246,212733,0.768,0.301,0.102,-7.48,0.0387,169.873,0.35,
38,0.637,0.752,553500,0.791,0.751,0.1,-12.4,0.0554,116.004,0.11,Electronic
52,0.0271,0.691,222000,0.754,0.0719,0.881,-8.136,0.0372,144.085,0.924,Rock
55,0.0226,,224550,0.55,0.205,0.0425,-7.427,0.026,81.814,,Rock
50,0.0749,0.791,308373,0.535,1.96E-06,0.156,-13.261,0.0355,127.488,0.963,Blues
44,0.263,0.841,294040,0.835,0,0.108,-6.191,0.308,133.024,0.702,Hip-Hop
54,0.0523,0.694,215307,0.951,0.00338,0.293,-5.4,,120.014,0.74,Rock
47,0.23,0.622,196227,0.448,0,0.102,-10.709,0.0265,120.4064967,0.553,Alternative
41,0.0873,0.364,187853,0.845,1.40E-06,0.0843,-4.115,,130.022,0.428,Blues
41,,,224341,,0,0.111,-5.159,0.0289,82.993,,Country
36,0.9,0.678,143320,0.327,0.158,0.111,-9.072,0.0288,113.803,0.557,Anime
66,,0.733,227027,,0,0.151,-6.87,0.0436,138.034,0.259,Rap
30,0.0145,0.519,234573,0.576,0.392,0.201,-7.705,0.0289,139.981,0.116,Electronic
66,0.106,0.66,200227,0.799,0,0.154,-4.644,0.0995,125.966,0.475,Rock
76,,0.657,266893,,0,0.254,-4.938,0.0782,93.985,0.726,Hip-Hop
64,0.664,0.403,212640,0.45,7.57E-06,0.0946,-6.314,,147.694,0.116,Rock
52,0.0175,0.672,505093,0.792,0.0119,0.313,-6.436,0.0333,146.907,0.649,Rock
42,0.666,0.656,187053,0.707,0,0.17,-3.841,0.0293,126.057,0.473,Country
60,0.103,0.401,60000,0.532,0,0.478,-11.554,0.508,84.777,0.413,Rap
62,0.0198,0.6,277533,0.912,6.52E-05,0.0883,-3.449,0.0724,110.339,0.506,Rock
70,0.404,0.629,-1,0.601,0,0.0582,-7.508,0.309,199.921,0.612,Hip-Hop
66,0.00941,,208280,0.837,0,0.372,-5.608,0.0452,140.495,,Rock
69,0.00197,0.352,-1,0.912,0,0.193,-4.253,0.0725,166.795,0.351,Rock
66,0.173,0.68,190720,0.738,0.00036,0.37,-4.881,,105.015,0.675,Rock
37,0.988,0.668,,0.243,,,-11.664,0.0541,,0.668,Jazz
42,0.633,0.606,218293,0.342,6.84E-05,0.297,-13.197,0.0301,78.019,0.432,Jazz
48,0.00806,0.52,259231,0.963,0.000151,0.175,-2.662,0.0498,155.934,0.567,Anime
54,5.45E-05,0.483,250128,0.962,9.61E-06,0.273,-2.93,0.107,88.003,0.459,Alternative
50,0.000225,,281147,0.905,0.00199,0.0724,-6.514,0.0486,126.793,,Electronic
49,,0.486,-1,,0.000298,0.674,-3.611,0.0636,117.26,0.142,Hip-Hop
61,5.87E-05,0.248,311200,0.988,0.84,0.323,-3.74,0.144,120.4064967,0.149,Rock
58,,0.518,303307,,7.63E-06,0.109,-7.106,,98.022,0.161,Rock
51,,0.498,227400,,0,0.169,-5.34,0.0332,160.043,0.695,Rock
68,0.221,0.588,278441,0.301,0.00236,0.128,-14.979,,112.458,0.19,Rock
47,0.111,0.69,268138,0.74,0.807,0.0899,-5.509,0.0741,144.935,0.363,Electronic
38,0.0306,0.443,251320,0.756,0.00121,0.33,-9.216,0.0443,83.797,0.346,Blues
55,0.122,0.5,173773,0.854,0,0.0794,-5.151,0.0945,94.96,0.404,Rock
52,0.00297,0.399,,0.925,,,-5.45,0.0382,,0.145,Electronic
27,0.0011,0.327,308080,0.972,0.00348,0.0817,-3.489,0.469,120.4064967,0.103,Anime
30,0.112,0.394,325733,0.348,0.0257,0.294,-10.197,0.036,127.543,0.538,Blues
56,,0.517,187267,,0,0.166,-6.152,0.0807,150.134,0.371,Rock
67,0.0213,,245000,0.614,0.165,0.31,-7.528,0.0426,119.837,,Rock
68,0.129,,209693,0.65,0,0.113,-5.981,0.0383,117.992,,Rock
53,0.0355,0.327,207640,0.948,0.515,0.126,,0.0711,177.328,0.469,Rock
58,,0.839,-1,,0.000376,0.116,-4.181,0.116,115.005,0.6,Hip-Hop
62,0.000198,0.39,177048,0.91,0,0.156,-3.268,0.133,162.253,0.644,Rock
55,0.126,0.779,217440,0.902,0,0.242,-2.975,0.169,95.321,0.82,Rap
62,0.472,0.757,200865,0.614,0,0.161,,,90.523,0.616,Alternative
29,,0.847,183573,,0.0352,0.115,-15.243,,126.902,0.741,Blues
72,,0.562,375050,,0,0.17,-5.065,0.369,159.517,0.231,Hip-Hop
33,,0.615,264840,,0.0128,0.127,-7.503,0.0284,155.972,0.383,Jazz
72,0.411,0.673,215067,0.395,0.00546,0.122,,0.123,170.074,0.137,Rap
56,0.0832,,268467,0.835,0.00982,0.0769,-6.553,0.0596,144.641,,Rock
40,0.000303,0.711,284093,0.954,0.834,0.07,-7.914,0.0707,124.982,0.897,Electronic
30,,0.442,398333,,0.149,0.129,-10.696,0.0616,97.643,0.51,Blues
60,0.316,0.68,-1,0.701,4.72E-06,0.111,-10.36,0.036,108.287,0.933,Rock
58,0.0091,0.668,299640,0.803,0.00182,0.571,-11.282,0.0459,115.386,0.423,Rock
48,0.951,0.498,193787,0.0969,0,0.105,-16.482,0.0435,144.077,0.39,Country
53,,0.673,240899,,0,0.2,-6.464,0.0638,95.997,0.379,Rock
68,,0.487,160886,,0.00104,0.405,-4.736,0.0887,137.939,0.563,Rock
59,0.000386,0.542,183480,0.939,3.85E-06,0.0931,-4.166,0.0822,129.983,0.256,Rock
55,0.459,0.657,210747,0.69,0,0.122,-6.866,0.0298,112.014,0.573,Rock
28,,0.455,226027,,0.000614,0.389,-2.365,0.109,131.814,0.383,Anime
55,,0.551,295067,,9.84E-06,0.276,-3.446,0.161,147.001,0.436,Rap
16,0.868,0.577,343467,0.491,0.931,0.0842,-7.412,0.063,124.557,0.389,Anime
53,0.744,0.257,233901,0.452,0.0996,0.38,-12.365,0.0349,120.4064967,0.271,Rock
72,0.198,,206360,0.498,0,0.132,-6.901,0.0277,116.271,,Rock
46,0.0217,0.57,232880,0.6,0,0.0957,-11.618,0.039,143.861,0.611,Country
56,0.169,,329187,0.662,0,0.345,,0.0446,94.531,,Rap
53,0.00351,0.422,205427,0.953,1.03E-06,0.575,-5.927,0.123,152.009,0.2,Rock
55,,0.602,248000,,0.00251,0.28,-17.899,,101.941,0.505,Rock
57,,0.407,307263,,0.935,0.0956,-11.733,0.0347,100.01,0.0723,Rock
53,0.373,,213528,0.788,0,0.108,-7.029,0.0532,120.4064967,,Rock
41,,0.358,255400,,1.34E-06,0.0867,-8.217,0.0347,120.4064967,0.487,Jazz
68,6.06E-05,0.451,194227,0.815,0,0.27,-5.55,,147.974,0.618,Rap
50,0.366,0.542,-1,0.566,5.14E-06,0.0979,-5.99,0.0561,153.479,0.408,Country
65,0.135,0.756,246893,0.415,0,0.144,-14.429,0.0555,96.99,0.68,Rock
13,,,229720,,0.000559,0.132,-3.988,0.0328,120.4064967,,Anime
73,,0.431,-1,,0.0096,0.502,-4.243,0.0616,147.108,0.534,Rock
46,0.000534,0.374,478428,0.926,0.0117,0.341,-4.947,0.0832,106.315,0.619,Jazz
39,0.152,0.572,235416,0.826,0,0.113,-5.167,0.132,167.988,0.408,Country
34,0.566,0.57,467760,0.291,0.0283,0.0453,-13.953,0.0425,106.247,0.423,Jazz
51,0.316,0.474,233853,0.508,0,0.166,-6.845,0.0235,77.31,0.358,Blues
71,0.0029,0.736,-1,0.711,0.000275,0.0948,-5.503,0.0352,112.309,0.719,Rock
62,0.0129,0.595,341533,0.804,1.97E-05,0.299,-7.911,0.0326,89.846,0.586,Rock
54,,0.666,220462,,0.000233,0.116,-8.369,0.0361,96.982,0.438,Rock
42,0.292,0.594,,0.718,,,-5.755,0.0289,,0.549,Country
56,,0.752,228907,,0,0.107,-8.156,0.0864,120.4064967,0.386,Rap
58,,0.808,,,,,-8.435,0.252,,0.616,Alternative
51,0.0424,0.512,,0.552,,0.111,-9.499,0.0355,143.977,0.21,Rock
64,0.35,0.764,174627,0.646,0,0.0823,-9.349,0.0305,116.115,0.886,Rock
26,3.87E-05,0.476,169613,0.791,0.838,0.165,-8.086,0.0582,120.4064967,0.403,Blues
58,0.00192,0.49,205040,0.699,6.45E-06,0.111,-5.55,0.0289,85.955,0.364,Rock
30,,,124400,,0.000816,0.0853,-11.499,0.0291,74.864,,Jazz
39,0.872,,499960,0.27,0.746,0.176,-13.276,0.0421,71.806,,Jazz
63,,0.65,225947,,0.000351,0.122,-3.677,0.0314,121.896,0.409,Rock
23,0.377,,180773,0.676,0.221,0.741,-7.273,0.04,94.518,,Blues
28,0.859,0.574,185387,0.284,0,0.114,-9.087,0.0363,68.07,0.672,Blues
64,0.517,,-1,0.596,0.00159,0.358,,0.246,94.968,,Hip-Hop
62,,0.485,184920,,0,0.0977,-3.807,0.0288,151.948,0.613,Country
56,0.0563,0.892,-1,0.538,0,0.303,-7.043,0.304,130.129,0.325,Hip-Hop
30,0.0618,0.389,160440,0.829,0.00125,0.168,-5.58,0.15,122.051,0.435,Blues
51,0.0224,0.647,233573,0.69,0,0.147,-8.657,0.0454,117.514,0.682,Alternative
63,0.069,,163453,0.969,0.00022,0.0608,-7.464,0.0854,142.489,,Rock
61,0.0774,0.486,198763,0.892,0,0.0532,-3.529,0.0606,72.984,0.361,Rock
67,,0.575,204040,,0,0.614,-6.007,0.325,172.155,0.926,Hip-Hop
59,0.000813,,309573,0.708,0.0197,0.0764,-9.367,0.0263,100.698,,Alternative
40,,0.339,233160,,0.00162,0.105,-11.843,0.0453,187.622,0.223,Electronic
55,0.0312,0.473,312280,0.691,0.00404,0.147,-7.984,0.0248,82.118,0.421,Alternative
51,0.00537,0.507,231133,0.686,0,0.124,-4.974,0.0401,120.4064967,0.389,Rock
63,0.0414,0.325,153160,0.872,0,0.478,-2.535,0.101,199.842,0.744,Rock
53,0.985,0.336,190400,0.0619,0.891,0.11,-20.494,0.0363,60.705,0.197,Jazz
67,0.05,0.813,,0.977,,,-6.078,0.0476,,0.842,Rock
,0.00798,0.672,,0.688,,,-9.605,0.0375,,0.808,Electronic
56,0.0116,0.507,-1,0.666,0.343,0.129,-8.362,0.029,77.979,0.185,Rock
55,0.128,0.534,295467,0.663,3.63E-05,0.431,-5.48,0.0286,141.525,0.573,Rock
32,0.000744,0.471,228520,0.944,0.000587,0.193,-4.673,0.0686,94.414,0.763,Blues
76,,0.667,207851,,0.015,0.0972,-5.935,0.0675,114.981,0.485,Rock
62,,,221187,,3.31E-05,0.112,-8.821,0.036,95.239,,Rock
20,0.000918,0.167,-1,0.461,0.793,0.113,-10.65,0.0331,87.03,0.103,Anime
41,0.178,0.7,227159,0.679,0,0.0787,-7.019,0.117,78.817,0.412,Country
53,,0.655,304693,,0,0.0643,-12.824,,118.732,0.528,Country
55,0.0134,,217067,0.626,0,0.349,-7.155,0.045,134.028,,Alternative
38,0.00108,0.776,448480,0.703,0.88,0.352,-16.542,0.0498,125.938,0.922,Jazz
59,0.00888,,224960,0.951,0.00126,0.376,-3.888,0.0966,158.075,,Rock
33,0.99,0.393,-1,0.112,0.924,0.123,-24.031,0.0348,139.968,0.487,Classical
52,0.00101,0.565,213853,0.905,0,0.325,-3.575,0.057,126.011,0.684,Rock
62,0.0208,0.575,249813,0.478,1.11E-05,0.144,-5.517,0.0314,125.968,0.297,Rock
34,3.23E-06,0.275,144600,0.958,0.959,0.315,-9.171,0.0408,99.993,0.727,Blues
59,0.00177,0.568,197933,0.871,0.000406,0.36,-5.235,0.0494,133.064,0.693,Rock
61,,0.596,185030,,0.151,0.135,-5.82,0.0698,149.999,0.56,Rock
49,,0.704,-1,,0.11,0.154,,0.0315,128.807,0.789,Rock
,0.193,0.477,,0.471,,0.131,-10.036,0.0277,81.204,0.423,Rock
54,0.936,0.696,131024,0.234,4.30E-05,0.114,-14.541,0.0383,130.302,0.484,Jazz
53,,0.492,202032,,0.162,0.255,-6.79,0.0332,84.237,0.323,Rock
58,0.838,0.665,-1,0.253,0,0.168,-7.326,0.0505,142.252,0.477,Rock
30,,,212160,,0.904,0.513,-11.301,0.038,163.163,,Jazz
49,,0.562,284093,,0,0.322,-7.974,0.203,93.378,0.362,Alternative
68,0.00265,0.553,173320,0.917,0.00991,0.07,-8.806,0.0906,101.798,0.781,Rock
55,0.0841,,384467,0.639,0,0.371,-9.91,0.0336,149.686,,Rock
,0.00706,0.572,,0.868,,,-4.833,0.047,,0.248,
54,0.0727,0.609,-1,0.876,6.96E-06,0.0778,-5.777,0.0438,152.043,0.39,Rock
55,0.0674,0.432,-1,0.612,1.34E-06,0.111,-6.871,0.0285,89.995,0.113,Rock
56,0.000349,0.684,268760,0.906,0.55,0.103,-6.661,,101.46,0.555,Rock
55,0.479,0.345,,0.461,,,-12.063,0.0645,,0.171,Rock
54,0.174,0.568,213600,0.714,0,0.0429,-7.139,,146.338,0.955,Rock
33,0.933,0.304,-1,0.126,0.939,0.124,-20.634,0.0286,84.377,0.307,Jazz
57,0.175,0.541,174573,0.662,0,0.0803,-7.196,0.0382,144.046,0.742,Rock
35,,0.375,143581,,4.72E-06,0.0856,-12.955,0.0341,67.714,0.379,Classical
28,0.121,0.365,333867,0.676,0.701,0.478,-8.7,0.112,149.22,0.599,Blues
40,0.966,0.716,219173,0.404,0.909,0.107,-13.79,,96.979,0.565,Electronic
57,0.972,0.193,208040,0.0329,0.929,0.0978,-28.228,0.046,82.165,0.0366,Classical
59,0.228,0.573,233587,0.656,0,0.0651,-5.954,0.0562,81.952,0.668,Rock
70,,0.606,193000,,0,0.337,-4.404,0.0598,119.974,0.903,Rock
74,,,382834,,0.00201,0.269,-10.421,0.152,124.193,,Rock
24,0.11,0.626,368400,0.994,0.0415,0.304,-2.849,0.0802,129.993,0.475,Anime
64,0.000163,0.408,196947,0.817,0.03,0.403,-4.59,0.0759,120.4064967,0.288,Rock
57,0.123,0.749,238054,0.649,0,0.371,-8.623,0.053,120.068,0.146,Rap
52,0.00614,0.515,260160,0.912,0.177,0.157,,0.0693,107.131,0.596,Rock
64,,0.505,-1,,0,0.113,-5.146,0.0358,140.066,0.623,Rock
61,0.491,,288053,0.467,0.175,0.0805,-10.862,0.0305,113.713,,Blues
55,0.374,0.926,213120,0.354,0,0.49,-10.773,0.511,105.005,0.561,Hip-Hop
51,0.27,0.648,248173,0.637,4.22E-06,0.0469,-10.138,0.0296,120.4064967,0.738,Rock
,0.826,0.153,,0.359,,0.0816,-17.719,0.0384,83.894,0.313,Anime
57,0.402,0.498,-1,0.806,5.74E-06,0.525,-5.284,0.0265,120.4064967,0.664,Rock
,0.00664,0.496,,0.554,,,-8.487,0.365,,0.328,Rap
57,0.123,0.749,238054,0.649,0,0.371,-8.623,0.053,120.068,0.146,Hip-Hop
44,0.000254,0.378,287365,0.919,0.899,0.61,-6.234,0.0489,93.045,0.205,Jazz
52,0.694,0.771,,0.458,,0.0784,-7.652,0.0327,109.089,0.707,Jazz
36,0.847,0.465,131200,0.431,0,0.36,-10.847,0.0304,93.981,0.74,Blues
56,0.00463,,207967,0.854,0,0.344,-5.03,0.164,186.061,,Rock
